"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Finland","FIN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1186","1421","1388","1744","961","670","974","1050","2177","2102","1871","1758","1921","2347","2241","2017","2191","2095","1833","2235","2487","2541","2984","3064","3608","3710","4824","4097","2554","3664","",
"Fiji","FJI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6087","","5324","6317","6973","6443","5615","5484","4191","3213","3749","5281","3097","","4827","5970","6669","6587","","6475","5923","6632","4799","3135","1070","","","","","","","",
"France","FRA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","32888","32470","","","","","","","38155","49622","","37456","39291","","32935","11854","16975","19526","18586","3450","","","","","","","","","","72517","73823","75192","79580","81089","","","","11188","19927","25514","8639","14744","17614","32595","12578","6482","","","","","","","",
"Faroe Islands","FRO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","794","1177","686","819","","747","1284","1238","1211","",
"Gabon","GAB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","2154","","","","","","","","","","","","","","","","","","","","","","12953","","","","","","","","","","","","","","","","","","","","","","38500","","","","",
"United Kingdom","GBR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","50809","46262","54758","62667","70211","70933","70493","71956","66631","30172","30596","36958","40187","47512","107815","120173","103529","94050","92610","82735","87137","88877","","","","","","","","","","","","14563","2438","29481","56752","6238","14384","10437","21673","41265","41331","40429","44471","52497","54437","59053","61976","77093","","79397","",
"Georgia","GEO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23683","24738","20382","","","","","","","","","","","","","","","","","","","","","","","","","2792","4099",
"Ghana","GHA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","667787","538177","626172","557074","563154","","463275","446020","364879","285407","304332","","213714","","","351407","317062","397683","174388","202825","150325","286029","466109","","",
"Gibraltar","GIB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","505","514","","501","460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
